artist,color
victor brauner,#00FFFF
wilhelm kotarbinski,#000000
michael sowa,#0000FF
giovanni battista piranesi,#FF00FF
franz stuck,#808080
rafael zabaleta,#008000
jean arp,#00FF00
albert bierstadt,#800000
edward lear,#000080
jules perahim,#808000
martiros saryan,#800080
remedios varo,#FF0000
rembrandt,#C0C0C0
hilma af klint,#008080
jacek malczewski,#FFFFFF
salvador dali,#FFFF00
max ernst,#00FFFF
sorin dumitrescu,#000000
aubrey beardsley,#0000FF
bui xuan phai,#FF00FF
lawren harris,#808080
gustave courbet,#008000
auguste rodin,#00FF00
roberto matta,#800000
lucian freud,#000080
albert bloch,#808000
emily carr,#800080
piroska szanto,#FF0000
boris gregoriev,#C0C0C0
zdislav beksinski,#008080
gustave dore,#FFFFFF
eileen agar,#FFFF00
osias beert,#00FFFF
edward weston,#000000
henri fantin latour,#0000FF
eustache le sueur,#FF00FF
joseph wright,#808080
paul klee,#008000
maxime maufra,#00FF00
john singer sargent,#800000
ernst ludwig kirchner,#000080
nicholas roerich,#808000
man ray,#800080
joaquin sorolla,#FF0000
ivan aivazovsky,#C0C0C0
rene magritte,#008080
thomas theodor heine,#FFFFFF
raphael kirchner,#FFFF00
andre masson,#00FFFF
leon arthur tutundjian,#000000
odilon redon,#0000FF
kansuke yamamoto,#FF00FF
kay nielsen,#808080
sabin b la a,#008000
nikolay bogdanov belsky,#00FF00
marc chagall,#800000
josefa de obidos,#000080
camille pissarro,#808000
childe hassam,#800080
joan miro,#FF0000
sergey solomko,#C0C0C0
vincent van gogh,#008080
jacek yerka,#FFFFFF
henri matisse,#FFFF00
constantine maleas,#00FFFF
ivan bilibin,#000000
egon schiele,#0000FF
edouard cortes,#FF00FF
jan matejko,#808080
james tissot,#008000
david alfaro siqueiros,#00FF00
william blake,#800000
konstantin makovsky,#000080
pyotr konchalovsky,#808000
harry clarke,#800080
felicien rops,#FF0000
yov kondzelevych,#C0C0C0
boris kustodiev,#008080
giovanni boldini,#FFFFFF
filipp malyavin,#FFFF00
francisco toledo,#00FFFF
felix labisse,#000000
constantin piliuta,#0000FF
martin johnson heade,#FF00FF
mary cassatt,#808080
dante gabriel rossetti,#008000
franz xaver winterhalter,#00FF00
paul delvaux,#800000
joan ponc,#000080
edgar degas,#808000
endre balint,#800080
conroy maddox,#FF0000
paul cezanne,#C0C0C0
candido portinari,#008080
dimitrie paciurea,#FFFFFF
george stubbs,#FFFF00
konstantin korovin,#00FFFF
natalia goncharova,#000000
tarsila do amaral,#0000FF
pablo picasso,#FF00FF
fernand leger,#808080
georges braque,#008000
valentin serov,#00FF00
konstantin vasilyev,#800000
mario nuzzi,#000080
cuno amiet,#808000
suzanne valadon,#800080
arthur segal,#FF0000
george frederick watts,#C0C0C0
gian lorenzo bernini,#008080
peter paul rubens,#FFFFFF
annibale carracci,#FFFF00
edward burne jones,#00FFFF
winslow homer,#000000
ford madox brown,#0000FF
edvard munch,#FF00FF
mikalojus ciurlionis,#808080
berthe morisot,#008000
henri martin,#00FF00
saul steinberg,#800000
alexander calder,#000080
grace cossington smith,#808000
francis picabia,#800080
theophrastos triantafyllidis,#FF0000
gustavo foppiani,#C0C0C0
jacques stella,#008080
leon bakst,#FFFFFF
chronis botsoglou,#FFFF00
alekos kontopoulos,#00FFFF
kuzma petrov vodkin,#000000
mikhail vrubel,#0000FF
john william waterhouse,#FF00FF
maurice prendergast,#808080
camille corot,#008000
jean leon gerome,#00FF00
benjamin west,#800000
carlos saenz de tejada,#000080
jean auguste dominique ingres,#808000
pieter de hooch,#800080
sidney nolan,#FF0000
gustave caillebotte,#C0C0C0
josef ma,#008080
m c escher,#FFFFFF
gustave moreau,#FFFF00
heorhiy narbut,#00FFFF
vajda lajos,#000000
jean david,#0000FF
georges papazoff,#FF00FF
gino severini,#808080
henri de toulouse lautrec,#008000
georges hugnet,#00FF00
zinaida serebriakova,#800000
viktor vasnetsov,#000080
toyen,#808000
francesco guardi,#800080
nikolaos lytras,#FF0000
pierre bonnard,#C0C0C0
paul gauguin,#008080
walter battiss,#FFFFFF
le nain brothers,#FFFF00
pierre auguste renoir,#00FFFF
theodor severin kittelsen,#000000
sorin ilfoveanu,#0000FF
amedeo modigliani,#FF00FF
oswaldo guayasamin,#808080
carlo carra,#008000
paula modersohn becker,#00FF00
yannoulis chalepas,#800000
james mcneill whistler,#000080
william merritt chase,#808000
pierre puvis de chavannes,#800080
jean francois millet,#FF0000
francisco goya,#C0C0C0
georges seurat,#008080
gerrit dou,#FFFFFF
johannes vermeer,#FFFF00
charles demuth,#00FFFF
karl bryullov,#000000
christo coetzee,#0000FF
john william godward,#FF00FF
maxim vorobiev,#808080
arthur verona,#008000
ivan rutkovych,#00FF00
mstislav dobuzhinsky,#800000
maria helena vieira da silva,#000080
alphonse mucha,#808000
otto eckmann,#800080
eug ne grasset,#FF0000
dorothy lathrop,#C0C0C0
isaac levitan,#008080
andre derain,#FFFFFF
arkhip kuindzhi,#FFFF00
basuki abdullah,#00FFFF
william turner,#000000
william holman hunt,#0000FF
maurice utrillo,#FF00FF
jacob van strij,#808080
karl bodmer,#008000
francesco hayez,#00FF00
jose pancetti,#800000
constantin artachino,#000080
vasily vereshchagin,#808000
francisco zurbaran,#800080
victor borisov musatov,#FF0000
gabriel metsu,#C0C0C0
lucia demetriade balacescu,#008080
hedda sterne,#FFFFFF
desmond morris,#FFFF00
jose clemente orozco,#00FFFF
enrico baj,#000000
ion tuculescu,#0000FF
vangel naumovski,#FF00FF
koloman moser,#808080
auguste herbin,#008000
william scott,#00FF00
mario ballocco,#800000
amrita sher gil,#000080
andre dunoyer de segonzac,#808000
william adolphe bouguereau,#800080
samuel bak,#FF0000
edouard manet,#C0C0C0
ion pacea,#008080
janos mattis teutsch,#FFFFFF
stanley pinker,#FFFF00
ferdinand hodler,#00FFFF
oskar kokoschka,#000000
claude monet,#0000FF
oscar dominguez,#FF00FF
wifredo lam,#808080
kit williams,#008000
bartolome esteban murillo,#00FF00
serge sudeikin,#800000
jacques h rold,#000080
juan de valdes leal,#808000
theodore gericault,#800080
alfred kubin,#FF0000
ilya repin,#C0C0C0
marie laurencin,#008080
octavio ocampo,#FFFFFF
viorel marginean,#FFFF00
albin brunovsky,#00FFFF
nassos daphnis,#000000
margareta sterian,#0000FF
nicolae tonitza,#FF00FF
theo van rysselberghe,#808080
le pho,#008000
bernardo strozzi,#00FF00
jean metzinger,#800000
jan steen,#000080
alexander orlowski,#808000
jan toorop,#800080
jean hugo,#FF0000
yiannis moralis,#C0C0C0
gustav klimt,#008080
yiannis tsaroychis,#FFFFFF
horia bernea,#FFFF00
fred williams,#00FFFF
mark rothko,#000000
j zsef rippl r nai,#0000FF
rufino tamayo,#FF00FF
periklis vyzantios,#808080
richard diebenkorn,#008000
boris margo,#00FF00
gustave loiseau,#800000
felix vallotton,#000080
hugo simberg,#808000
ivan shishkin,#800080
rudolf von alt,#FF0000
jock macdonald,#C0C0C0
lovis corinth,#008080
lucian grigorescu,#FFFFFF
edmund dulac,#FFFF00
thomas eakins,#00FFFF
jack bush,#000000
richard gerstl,#0000FF
arthur hughes,#FF00FF
diego velazquez,#808080
irma stern,#008000
max pechstein,#00FF00
christoffer wilhelm eckersberg,#800000
agostino carracci,#000080
guido reni,#808000
corneliu michailescu,#800080
charles reiffel,#FF0000
jean baptiste simeon chardin,#C0C0C0
jacques louis david,#008080
john everett millais,#FFFFFF
andrei ryabushkin,#FFFF00
ivan vladimirov,#00FFFF
stefan luchian,#000000
konstantin somov,#0000FF
clyfford still,#FF00FF
victor hugo,#808080
max beckmann,#008000
giovanni paolo panini,#00FF00
gheorghe tattarescu,#800000
paul wunderlich,#000080
tivadar kosztka csontvary,#808000
cornelis springer,#800080
fyodor alekseyev,#FF0000
giacomo quarenghi,#C0C0C0
arnold b cklin,#008080
eugene boudin,#FFFFFF
aelbert cuyp,#FFFF00
alfred sisley,#00FFFF
mary fedden,#000000
august macke,#0000FF
ossip zadkine,#FF00FF
orest kiprensky,#808080
kathe kollwitz,#008000
augustus john,#00FF00
jules cheret,#800000
ding yanyong,#000080
hans bellmer,#808000
marcel duchamp,#800080
thomas moran,#FF0000
edwin henry landseer,#C0C0C0
ramon oviedo,#008080
lyonel feininger,#FFFFFF
giovanni fattori,#FFFF00
aladar korosfoi kriesch,#00FFFF
panayiotis tetsis,#000000
jose gutierrez solana,#0000FF
jacob jordaens,#FF00FF
roberto aizenberg,#808080
dorothea tanning,#008000
karl schrag,#00FF00
adolf hitler,#800000
antonio canova,#000080
simon hantai,#808000
vasily surikov,#800080
emmanuel zairis,#FF0000
albert anker,#C0C0C0
cornelis de vos,#008080
anders zorn,#FFFFFF
max slevogt,#FFFF00
gerard terborch,#00FFFF
billy childish,#000000
joao vieira,#0000FF
