Date,color
1962,#00FFFF
-,#000000
1911,#0000FF
1937,#FF00FF
1832,#808080
1971,#008000
1907,#00FF00
1957,#800000
1630,#000080
1914,#808000
1929,#800080
1969,#FF0000
1982,#C0C0C0
1894,#FFFFFF
1924,#FFFF00
1891,#00FFFF
1938,#000000
1978,#0000FF
1975,#FF00FF
1946,#808080
1965,#008000
1920,#00FF00
1936,#800000
1931,#000080
1655,#808000
1776,#800080
1925,#FF0000
1916,#C0C0C0
1903,#FFFFFF
1898,#FFFF00
1954,#00FFFF
1853,#000000
1939,#0000FF
1906,#FF00FF
1865,#808080
1901,#008000
1926,#00FF00
1948,#800000
1928,#000080
1882,#808000
1949,#800080
1670,#FF0000
1881,#C0C0C0
1857,#FFFFFF
1885,#FFFF00
1923,#00FFFF
1950,#000000
1917,#0000FF
1947,#FF00FF
1805,#808080
1879,#008000
1967,#00FF00
1897,#800000
1705,#000080
1912,#808000
1933,#800080
1913,#FF0000
1972,#C0C0C0
1863,#FFFFFF
1900,#FFFF00
1876,#00FFFF
1905,#000000
1974,#0000FF
1945,#FF00FF
1877,#808080
1915,#008000
1880,#00FF00
1956,#800000
1792,#000080
1909,#808000
1918,#800080
1960,#FF0000
1952,#C0C0C0
1964,#FFFFFF
1908,#FFFF00
1875,#00FFFF
1902,#000000
1640,#0000FF
1650,#FF00FF
1657,#808080
1889,#008000
1852,#00FF00
1878,#800000
1904,#000080
1981,#808000
2012,#800080
1980,#FF0000
1998,#C0C0C0
1910,#FFFFFF
1961,#FFFF00
1973,#00FFFF
1899,#000000
1860,#0000FF
1922,#FF00FF
1756,#808080
1679,#008000
1840,#00FF00
1665,#800000
1587,#000080
1661,#808000
1927,#800080
1921,#FF0000
1919,#C0C0C0
1944,#FFFFFF
1940,#FFFF00
1985,#00FFFF
1888,#000000
1844,#0000FF
1895,#FF00FF
1789,#808080
1953,#008000
1886,#00FF00
1890,#800000
1637,#000080
1641,#808000
2005,#800080
1893,#FF0000
1942,#C0C0C0
1642,#FFFFFF
1871,#FFFF00
1874,#00FFFF
1814,#000000
1883,#0000FF
1667,#FF00FF
1829,#808080
1979,#008000
1821,#00FF00
1699,#800000
1976,#000080
1896,#808000
1887,#800080
1823,#FF0000
1768,#C0C0C0
1854,#FFFFFF
1833,#FFFF00
1867,#00FFFF
1884,#000000
1785,#0000FF
1873,#FF00FF
1629,#808080
1930,#008000
1660,#00FF00
1989,#800000
1941,#000080
1943,#808000
1958,#800080
1977,#FF0000
1772,#C0C0C0
1932,#FFFFFF
1868,#FFFF00
1934,#00FFFF
1970,#000000
1986,#0000FF
1826,#FF00FF
1869,#808080
