page_url,date,style,genre,image_id
https://www.wikiart.org/en/a-y-jackson/early-spring-quebec-1923,1923,Post-Impressionism,landscape,a-y-jackson_early-spring-quebec-1923
https://www.wikiart.org/en/a-y-jackson/first-snow-algoma-country-1920,1920,Art Nouveau (Modern),landscape,a-y-jackson_first-snow-algoma-country-1920
https://www.wikiart.org/en/a-y-jackson/grey-day-laurentians-1928,1928,Art Nouveau (Modern),landscape,a-y-jackson_grey-day-laurentians-1928
https://www.wikiart.org/en/a-y-jackson/st-john-s-newfoundland-1951,1951,Post-Impressionism,landscape,a-y-jackson_st-john-s-newfoundland-1951
https://www.wikiart.org/en/a-y-jackson/the-road-to-st-fidele-1930,1930,Art Nouveau (Modern),landscape,a-y-jackson_the-road-to-st-fidele-1930
https://www.wikiart.org/en/abraham-manievich/landscape-with-animals,-,Post-Impressionism,landscape,abraham-manievich_landscape-with-animals
https://www.wikiart.org/en/abraham-manievich/portrait-of-the-artist-s-wife-1929,1929,Expressionism,portrait,abraham-manievich_portrait-of-the-artist-s-wife-1929
https://www.wikiart.org/en/abraham-manievich/still-life-with-green-vase-and-flowers,-,Post-Impressionism,flower painting,abraham-manievich_still-life-with-green-vase-and-flowers
https://www.wikiart.org/en/abraham-manievich/the-yellow-house,-,Post-Impressionism,cityscape,abraham-manievich_the-yellow-house
https://www.wikiart.org/en/abraham-van-strij/an-extensive-river-landscape,-,Neoclassicism,landscape,abraham-van-strij_an-extensive-river-landscape
https://www.wikiart.org/en/abraham-van-strij/boy-and-girl-looking-at-drawings,-,Neoclassicism,genre painting,abraham-van-strij_boy-and-girl-looking-at-drawings
https://www.wikiart.org/en/abraham-van-strij/cobbler-and-his-family,-,Neoclassicism,genre painting,abraham-van-strij_cobbler-and-his-family
https://www.wikiart.org/en/abraham-van-strij/contemplation-of-a-drawing,-,Neoclassicism,genre painting,abraham-van-strij_contemplation-of-a-drawing
https://www.wikiart.org/en/abraham-van-strij/hendrik-weymans-and-his-family,-,Neoclassicism,genre painting,abraham-van-strij_hendrik-weymans-and-his-family
https://www.wikiart.org/en/abraham-van-strij/interior-with-soldier-and-maid,-,Neoclassicism,genre painting,abraham-van-strij_interior-with-soldier-and-maid
https://www.wikiart.org/en/abraham-van-strij/landscape-with-horsemen,-,Neoclassicism,landscape,abraham-van-strij_landscape-with-horsemen
https://www.wikiart.org/en/abraham-van-strij/merchant-at-a-table-near-window,-,Neoclassicism,genre painting,abraham-van-strij_merchant-at-a-table-near-window
https://www.wikiart.org/en/abraham-van-strij/merriment-on-frozen-river,-,Neoclassicism,genre painting,abraham-van-strij_merriment-on-frozen-river
https://www.wikiart.org/en/abraham-van-strij/reading-old-woman-at-window,-,Neoclassicism,genre painting,abraham-van-strij_reading-old-woman-at-window
https://www.wikiart.org/en/abraham-van-strij/sailing-of-the-dordrecht,-,Neoclassicism,marina,abraham-van-strij_sailing-of-the-dordrecht
https://www.wikiart.org/en/abraham-van-strij/sitting-boy,-,Neoclassicism,portrait,abraham-van-strij_sitting-boy
https://www.wikiart.org/en/abraham-van-strij/sleeping-woman-teased-by-two-boys,-,Neoclassicism,genre painting,abraham-van-strij_sleeping-woman-teased-by-two-boys
https://www.wikiart.org/en/abraham-van-strij/the-fishsaleswoman,-,Neoclassicism,genre painting,abraham-van-strij_the-fishsaleswoman
https://www.wikiart.org/en/abraham-van-strij/the-young-draughtsman,-,Neoclassicism,genre painting,abraham-van-strij_the-young-draughtsman
https://www.wikiart.org/en/abraham-van-strij/view-on-dordrecht,-,Neoclassicism,animal painting,abraham-van-strij_view-on-dordrecht
https://www.wikiart.org/en/abraham-van-strij/view-on-mediterrian-port,-,Neoclassicism,cityscape,abraham-van-strij_view-on-mediterrian-port
https://www.wikiart.org/en/ad-reinhardt/ho-to-look-at-an-artist,-,Expressionism,caricature,ad-reinhardt_ho-to-look-at-an-artist
https://www.wikiart.org/en/ad-reinhardt/how-to-look-at-a-spiral-1946,1946,Expressionism,illustration,ad-reinhardt_how-to-look-at-a-spiral-1946
https://www.wikiart.org/en/adam-baltatu/houses-in-hu-i-1,-,Impressionism,cityscape,adam-baltatu_houses-in-hu-i-1
https://www.wikiart.org/en/adam-baltatu/still-life-with-pipe-and-books,-,Impressionism,still life,adam-baltatu_still-life-with-pipe-and-books
https://www.wikiart.org/en/adam-baltatu/summer-sky,-,Impressionism,landscape,adam-baltatu_summer-sky
https://www.wikiart.org/en/adam-baltatu/village-boundary-1,-,Impressionism,landscape,adam-baltatu_village-boundary-1
https://www.wikiart.org/en/adam-baltatu/winter-at-hu-i,-,Post-Impressionism,landscape,adam-baltatu_winter-at-hu-i
https://www.wikiart.org/en/adam-baltatu/winter-landscape,-,Impressionism,landscape,adam-baltatu_winter-landscape
https://www.wikiart.org/en/adolf-fleischmann/sill-life-with-fruits-mussels-and-a-bottle,-,Expressionism,still life,adolf-fleischmann_sill-life-with-fruits-mussels-and-a-bottle
https://www.wikiart.org/en/adolf-hitler/still-life-with-bottle-and-fruit,-,-,-,adolf-hitler_still-life-with-bottle-and-fruit
https://www.wikiart.org/en/adolphe-joseph-thomas-monticelli/bouquet-of-flowers-1,-,Romanticism,still life,adolphe-joseph-thomas-monticelli_bouquet-of-flowers-1
https://www.wikiart.org/en/adolphe-joseph-thomas-monticelli/gathering-of-elegant-women,-,Romanticism,genre painting,adolphe-joseph-thomas-monticelli_gathering-of-elegant-women
https://www.wikiart.org/en/adolphe-joseph-thomas-monticelli/port-of-cassis-1884,1884,Romanticism,cityscape,adolphe-joseph-thomas-monticelli_port-of-cassis-1884
https://www.wikiart.org/en/adolphe-joseph-thomas-monticelli/portrait-of-a-woman,-,Romanticism,portrait,adolphe-joseph-thomas-monticelli_portrait-of-a-woman
https://www.wikiart.org/en/adolphe-joseph-thomas-monticelli/the-meeting-of-the-elegant-ladies,1876,Romanticism,genre painting,adolphe-joseph-thomas-monticelli_the-meeting-of-the-elegant-ladies
https://www.wikiart.org/en/adriaen-brouwer/father-s-of-unpleasant-duties-1631,1631,Baroque,genre painting,adriaen-brouwer_father-s-of-unpleasant-duties-1631
https://www.wikiart.org/en/adriaen-brouwer/fumatore,-,Baroque,genre painting,adriaen-brouwer_fumatore
https://www.wikiart.org/en/adriaen-brouwer/in-the-tavern-1,-,Baroque,genre painting,adriaen-brouwer_in-the-tavern-1
https://www.wikiart.org/en/adriaen-brouwer/smallholders-playing-dice,1635,Baroque,genre painting,adriaen-brouwer_smallholders-playing-dice
https://www.wikiart.org/en/adriaen-brouwer/the-brawl,1635,Baroque,genre painting,adriaen-brouwer_the-brawl
https://www.wikiart.org/en/adriaen-brouwer/the-drinker,-,Baroque,genre painting,adriaen-brouwer_the-drinker
https://www.wikiart.org/en/adriaen-brouwer/the-smokers-1,1636,Baroque,genre painting,adriaen-brouwer_the-smokers-1
https://www.wikiart.org/en/adriaen-brouwer/twilight-landscape,1635,Baroque,landscape,adriaen-brouwer_twilight-landscape
https://www.wikiart.org/en/adriaen-brouwer/village-scene-with-men-drinking,1633,Baroque,genre painting,adriaen-brouwer_village-scene-with-men-drinking
https://www.wikiart.org/en/adriaen-van-de-velde/agony-in-the-garden-1665,1665,Baroque,religious painting,adriaen-van-de-velde_agony-in-the-garden-1665
https://www.wikiart.org/en/adriaen-van-de-velde/amusement-on-the-ice-1669,1669,Baroque,genre painting,adriaen-van-de-velde_amusement-on-the-ice-1669
https://www.wikiart.org/en/adriaen-van-de-velde/animals-by-the-river-1664,1664,Baroque,animal painting,adriaen-van-de-velde_animals-by-the-river-1664
https://www.wikiart.org/en/adriaen-van-de-velde/cattle-and-goats-in-a-meadow-1658,1658,Baroque,animal painting,adriaen-van-de-velde_cattle-and-goats-in-a-meadow-1658
https://www.wikiart.org/en/adriaen-van-de-velde/golfers-on-the-ice-near-haarlem-1668,1668,Baroque,genre painting,adriaen-van-de-velde_golfers-on-the-ice-near-haarlem-1668
https://www.wikiart.org/en/adriaen-van-de-velde/milking-a-cow-1666,1666,Baroque,genre painting,adriaen-van-de-velde_milking-a-cow-1666
https://www.wikiart.org/en/adriaen-van-de-velde/reclining-herdsman,1670,Baroque,sketch and study,adriaen-van-de-velde_reclining-herdsman
https://www.wikiart.org/en/adriaen-van-de-velde/study-of-a-female-nude,-,Baroque,nude painting (nu),adriaen-van-de-velde_study-of-a-female-nude
https://www.wikiart.org/en/adriaen-van-de-velde/study-of-a-woman-in-peasant-dress,-,Baroque,sketch and study,adriaen-van-de-velde_study-of-a-woman-in-peasant-dress
https://www.wikiart.org/en/adriaen-van-de-velde/the-beach-at-scheveningen-1658,1658,Baroque,landscape,adriaen-van-de-velde_the-beach-at-scheveningen-1658
https://www.wikiart.org/en/adriaen-van-de-velde/the-church-of-st-severin-in-cologne-in-a-fictive-setting-1672,1672,Baroque,cityscape,adriaen-van-de-velde_the-church-of-st-severin-in-cologne-in-a-fictive-setting-1672
