Genres,color
symbolic painting,#00FFFF
religious painting,#000000
animal painting,#0000FF
design,#FF00FF
poster,#808080
cityscape,#008000
abstract,#00FF00
sculpture,#800000
sketch and study,#000080
genre painting,#808000
Surrealism,#800080
illustration,#FF0000
landscape,#C0C0C0
self-portrait,#FFFFFF
portrait,#FFFF00
Post-Impressionism,#00FFFF
Expressionism,#000000
photo,#0000FF
still life,#FF00FF
flower painting,#808080
mythological painting,#008000
marina,#00FF00
figurative,#800000
nude painting (nu),#000080
-,#808000
Symbolism,#800080
literary painting,#FF0000
wildlife painting,#C0C0C0
cloudscape,#FFFFFF
history painting,#FFFF00
interior,#00FFFF
allegorical painting,#000000
Neoclassicism,#0000FF
advertisement,#FF00FF
Japonism,#808080
Fauvism,#008000
Romanticism,#00FF00
veduta,#800000
Divisionism,#000080
pastorale,#808000
tessellation,#800080
caricature,#FF0000
vanitas,#C0C0C0
quadratura,#FFFFFF
Realism,#FFFF00
Byzantine,#00FFFF
Social Realism,#000000
Impressionism,#0000FF
Na•À_•À_ve Art (Primitivism),#FF00FF
Pop Art,#808080
battle painting,#008000
miniature,#00FF00
capriccio,#800000
performance,#000080
Orientalism,#808000
graffiti,#800080
Stuckism,#FF0000
Pointillism,#C0C0C0
panorama,#FFFFFF
Figurative Expressionism,#FFFF00
