image_id,page_url,image_url,label,_split
a-y-jackson_early-spring-quebec-1923,http://www.wikiart.org/en/a-y-jackson/early-spring-quebec-1923,http://uploads6.wikiart.org/images/a-y-jackson/early-spring-quebec-1923.jpg,5,train
a-y-jackson_first-snow-algoma-country-1920,http://www.wikiart.org/en/a-y-jackson/first-snow-algoma-country-1920,http://uploads3.wikiart.org/images/a-y-jackson/first-snow-algoma-country-1920.jpg,0,train
a-y-jackson_grey-day-laurentians-1928,http://www.wikiart.org/en/a-y-jackson/grey-day-laurentians-1928,http://uploads7.wikiart.org/images/a-y-jackson/grey-day-laurentians-1928.jpg,0,train
a-y-jackson_st-john-s-newfoundland-1951,http://www.wikiart.org/en/a-y-jackson/st-john-s-newfoundland-1951,http://uploads0.wikiart.org/images/a-y-jackson/st-john-s-newfoundland-1951.jpg,5,train
a-y-jackson_the-road-to-st-fidele-1930,http://www.wikiart.org/en/a-y-jackson/the-road-to-st-fidele-1930,http://uploads8.wikiart.org/images/a-y-jackson/the-road-to-st-fidele-1930.jpg,0,test
abraham-manievich_landscape-with-animals,http://www.wikiart.org/en/abraham-manievich/landscape-with-animals,http://uploads1.wikiart.org/images/abraham-manievich/landscape-with-animals.jpg,5,train
abraham-manievich_portrait-of-the-artist-s-wife-1929,http://www.wikiart.org/en/abraham-manievich/portrait-of-the-artist-s-wife-1929,http://uploads4.wikiart.org/images/abraham-manievich/portrait-of-the-artist-s-wife-1929.jpg,2,train
abraham-manievich_still-life-with-green-vase-and-flowers,http://www.wikiart.org/en/abraham-manievich/still-life-with-green-vase-and-flowers,http://uploads8.wikiart.org/images/abraham-manievich/still-life-with-green-vase-and-flowers.jpg,3,train
abraham-manievich_the-yellow-house,http://www.wikiart.org/en/abraham-manievich/the-yellow-house,http://uploads4.wikiart.org/images/abraham-manievich/the-yellow-house.jpg,5,test
abraham-van-strij_an-extensive-river-landscape,http://www.wikiart.org/en/abraham-van-strij/an-extensive-river-landscape,http://uploads7.wikiart.org/images/abraham-van-strij/an-extensive-river-landscape.jpg,4,train
abraham-van-strij_boy-and-girl-looking-at-drawings,http://www.wikiart.org/en/abraham-van-strij/boy-and-girl-looking-at-drawings,http://uploads2.wikiart.org/images/abraham-van-strij/boy-and-girl-looking-at-drawings.jpg,4,train
abraham-van-strij_cobbler-and-his-family,http://www.wikiart.org/en/abraham-van-strij/cobbler-and-his-family,http://uploads1.wikiart.org/images/abraham-van-strij/cobbler-and-his-family.jpg,4,train
abraham-van-strij_contemplation-of-a-drawing,http://www.wikiart.org/en/abraham-van-strij/contemplation-of-a-drawing,http://uploads5.wikiart.org/images/abraham-van-strij/contemplation-of-a-drawing.jpg,4,test
abraham-van-strij_hendrik-weymans-and-his-family,http://www.wikiart.org/en/abraham-van-strij/hendrik-weymans-and-his-family,http://uploads0.wikiart.org/images/abraham-van-strij/hendrik-weymans-and-his-family.jpg,4,test
abraham-van-strij_interior-with-soldier-and-maid,http://www.wikiart.org/en/abraham-van-strij/interior-with-soldier-and-maid,http://uploads0.wikiart.org/images/abraham-van-strij/interior-with-soldier-and-maid.jpg,4,train
abraham-van-strij_landscape-with-horsemen,http://www.wikiart.org/en/abraham-van-strij/landscape-with-horsemen,http://uploads2.wikiart.org/images/abraham-van-strij/landscape-with-horsemen.jpg,4,test
abraham-van-strij_merchant-at-a-table-near-window,http://www.wikiart.org/en/abraham-van-strij/merchant-at-a-table-near-window,http://uploads1.wikiart.org/images/abraham-van-strij/merchant-at-a-table-near-window.jpg,4,train
abraham-van-strij_merriment-on-frozen-river,http://www.wikiart.org/en/abraham-van-strij/merriment-on-frozen-river,http://uploads4.wikiart.org/images/abraham-van-strij/merriment-on-frozen-river.jpg,4,train
abraham-van-strij_reading-old-woman-at-window,http://www.wikiart.org/en/abraham-van-strij/reading-old-woman-at-window,http://uploads6.wikiart.org/images/abraham-van-strij/reading-old-woman-at-window.jpg,4,train
abraham-van-strij_sailing-of-the-dordrecht,http://www.wikiart.org/en/abraham-van-strij/sailing-of-the-dordrecht,http://uploads3.wikiart.org/images/abraham-van-strij/sailing-of-the-dordrecht.jpg,4,train
abraham-van-strij_sitting-boy,http://www.wikiart.org/en/abraham-van-strij/sitting-boy,http://uploads8.wikiart.org/images/abraham-van-strij/sitting-boy.jpg,4,train
abraham-van-strij_sleeping-woman-teased-by-two-boys,http://www.wikiart.org/en/abraham-van-strij/sleeping-woman-teased-by-two-boys,http://uploads3.wikiart.org/images/abraham-van-strij/sleeping-woman-teased-by-two-boys.jpg,4,test
abraham-van-strij_the-fishsaleswoman,http://www.wikiart.org/en/abraham-van-strij/the-fishsaleswoman,http://uploads6.wikiart.org/images/abraham-van-strij/the-fishsaleswoman.jpg,4,train
abraham-van-strij_the-young-draughtsman,http://www.wikiart.org/en/abraham-van-strij/the-young-draughtsman,http://uploads0.wikiart.org/images/abraham-van-strij/the-young-draughtsman.jpg,4,test
abraham-van-strij_view-on-dordrecht,http://www.wikiart.org/en/abraham-van-strij/view-on-dordrecht,http://uploads5.wikiart.org/images/abraham-van-strij/view-on-dordrecht.jpg,4,train
abraham-van-strij_view-on-mediterrian-port,http://www.wikiart.org/en/abraham-van-strij/view-on-mediterrian-port,http://uploads3.wikiart.org/images/abraham-van-strij/view-on-mediterrian-port.jpg,4,test
ad-reinhardt_ho-to-look-at-an-artist,http://www.wikiart.org/en/ad-reinhardt/ho-to-look-at-an-artist,http://uploads6.wikiart.org/images/ad-reinhardt/ho-to-look-at-an-artist.jpg,2,train
ad-reinhardt_how-to-look-at-a-spiral-1946,http://www.wikiart.org/en/ad-reinhardt/how-to-look-at-a-spiral-1946,http://uploads5.wikiart.org/images/ad-reinhardt/how-to-look-at-a-spiral-1946(1).jpg,2,test
adam-baltatu_houses-in-hu-i-1,http://www.wikiart.org/en/adam-baltatu/houses-in-hu-i-1,http://uploads8.wikiart.org/images/adam-baltatu/houses-in-hu-i-1.jpg,3,train
adam-baltatu_still-life-with-pipe-and-books,http://www.wikiart.org/en/adam-baltatu/still-life-with-pipe-and-books,http://uploads4.wikiart.org/images/adam-baltatu/still-life-with-pipe-and-books.jpg,3,train
adam-baltatu_summer-sky,http://www.wikiart.org/en/adam-baltatu/summer-sky,http://uploads2.wikiart.org/images/adam-baltatu/summer-sky.jpg,3,test
adam-baltatu_village-boundary-1,http://www.wikiart.org/en/adam-baltatu/village-boundary-1,http://uploads1.wikiart.org/images/adam-baltatu/village-boundary-1.jpg,3,test
adam-baltatu_winter-at-hu-i,http://www.wikiart.org/en/adam-baltatu/winter-at-hu-i,http://uploads6.wikiart.org/images/adam-baltatu/winter-at-hu-i.jpg,5,train
adam-baltatu_winter-landscape,http://www.wikiart.org/en/adam-baltatu/winter-landscape,http://uploads8.wikiart.org/images/adam-baltatu/winter-landscape.jpg,3,train
adolf-fleischmann_sill-life-with-fruits-mussels-and-a-bottle,http://www.wikiart.org/en/adolf-fleischmann/sill-life-with-fruits-mussels-and-a-bottle,http://uploads3.wikiart.org/images/adolf-fleischmann/sill-life-with-fruits-mussels-and-a-bottle.jpg,2,test
adolf-hitler_still-life-with-bottle-and-fruit,http://www.wikiart.org/en/adolf-hitler/still-life-with-bottle-and-fruit,http://uploads6.wikiart.org/images/adolf-hitler/still-life-with-bottle-and-fruit.jpg,3,train
adolphe-joseph-thomas-monticelli_bouquet-of-flowers-1,http://www.wikiart.org/en/adolphe-joseph-thomas-monticelli/bouquet-of-flowers-1,http://uploads5.wikiart.org/images/adolphe-joseph-thomas-monticelli/bouquet-of-flowers-1.jpg,7,test
adolphe-joseph-thomas-monticelli_gathering-of-elegant-women,http://www.wikiart.org/en/adolphe-joseph-thomas-monticelli/gathering-of-elegant-women,http://uploads2.wikiart.org/images/adolphe-joseph-thomas-monticelli/gathering-of-elegant-women.jpg,7,train
adolphe-joseph-thomas-monticelli_port-of-cassis-1884,http://www.wikiart.org/en/adolphe-joseph-thomas-monticelli/port-of-cassis-1884,http://uploads4.wikiart.org/images/adolphe-joseph-thomas-monticelli/port-of-cassis-1884.jpg,7,train
adolphe-joseph-thomas-monticelli_portrait-of-a-woman,http://www.wikiart.org/en/adolphe-joseph-thomas-monticelli/portrait-of-a-woman,http://uploads4.wikiart.org/images/adolphe-joseph-thomas-monticelli/portrait-of-a-woman.jpg,7,train
adolphe-joseph-thomas-monticelli_the-meeting-of-the-elegant-ladies,http://www.wikiart.org/en/adolphe-joseph-thomas-monticelli/the-meeting-of-the-elegant-ladies,http://uploads0.wikiart.org/images/adolphe-joseph-thomas-monticelli/the-meeting-of-the-elegant-ladies.jpg,7,train
adriaen-brouwer_father-s-of-unpleasant-duties-1631,http://www.wikiart.org/en/adriaen-brouwer/father-s-of-unpleasant-duties-1631,http://uploads2.wikiart.org/images/adriaen-brouwer/father-s-of-unpleasant-duties-1631.jpg,1,train
adriaen-brouwer_fumatore,http://www.wikiart.org/en/adriaen-brouwer/fumatore,http://uploads3.wikiart.org/images/adriaen-brouwer/fumatore.jpg,1,train
adriaen-brouwer_in-the-tavern-1,http://www.wikiart.org/en/adriaen-brouwer/in-the-tavern-1,http://uploads1.wikiart.org/images/adriaen-brouwer/in-the-tavern-1.jpg,1,train
adriaen-brouwer_smallholders-playing-dice,http://www.wikiart.org/en/adriaen-brouwer/smallholders-playing-dice,http://uploads2.wikiart.org/images/adriaen-brouwer/smallholders-playing-dice.jpg,1,test
adriaen-brouwer_the-brawl,http://www.wikiart.org/en/adriaen-brouwer/the-brawl,http://uploads4.wikiart.org/images/adriaen-brouwer/the-brawl.jpg,1,train
adriaen-brouwer_the-drinker,http://www.wikiart.org/en/adriaen-brouwer/the-drinker,http://uploads6.wikiart.org/images/adriaen-brouwer/the-drinker.jpg,1,test
adriaen-brouwer_the-smokers-1,http://www.wikiart.org/en/adriaen-brouwer/the-smokers-1,http://uploads8.wikiart.org/images/adriaen-brouwer/the-smokers-1.jpg,1,test
adriaen-brouwer_twilight-landscape,http://www.wikiart.org/en/adriaen-brouwer/twilight-landscape,http://uploads4.wikiart.org/images/adriaen-brouwer/twilight-landscape.jpg,1,train
adriaen-brouwer_village-scene-with-men-drinking,http://www.wikiart.org/en/adriaen-brouwer/village-scene-with-men-drinking,http://uploads8.wikiart.org/images/adriaen-brouwer/village-scene-with-men-drinking.jpg,1,train
adriaen-van-de-velde_agony-in-the-garden-1665,http://www.wikiart.org/en/adriaen-van-de-velde/agony-in-the-garden-1665,http://uploads6.wikiart.org/images/adriaen-van-de-velde/agony-in-the-garden-1665.jpg,1,train
adriaen-van-de-velde_amusement-on-the-ice-1669,http://www.wikiart.org/en/adriaen-van-de-velde/amusement-on-the-ice-1669,http://uploads7.wikiart.org/images/adriaen-van-de-velde/amusement-on-the-ice-1669.jpg,1,train
adriaen-van-de-velde_animals-by-the-river-1664,http://www.wikiart.org/en/adriaen-van-de-velde/animals-by-the-river-1664,http://uploads7.wikiart.org/images/adriaen-van-de-velde/animals-by-the-river-1664.jpg,1,test
adriaen-van-de-velde_cattle-and-goats-in-a-meadow-1658,http://www.wikiart.org/en/adriaen-van-de-velde/cattle-and-goats-in-a-meadow-1658,http://uploads6.wikiart.org/images/adriaen-van-de-velde/cattle-and-goats-in-a-meadow-1658.jpg,1,train
adriaen-van-de-velde_golfers-on-the-ice-near-haarlem-1668,http://www.wikiart.org/en/adriaen-van-de-velde/golfers-on-the-ice-near-haarlem-1668,http://uploads0.wikiart.org/images/adriaen-van-de-velde/golfers-on-the-ice-near-haarlem-1668.jpg,1,test
adriaen-van-de-velde_milking-a-cow-1666,http://www.wikiart.org/en/adriaen-van-de-velde/milking-a-cow-1666,http://uploads0.wikiart.org/images/adriaen-van-de-velde/milking-a-cow-1666.jpg,1,train
adriaen-van-de-velde_reclining-herdsman,http://www.wikiart.org/en/adriaen-van-de-velde/reclining-herdsman,http://uploads0.wikiart.org/images/adriaen-van-de-velde/reclining-herdsman.jpg,1,test
adriaen-van-de-velde_study-of-a-female-nude,http://www.wikiart.org/en/adriaen-van-de-velde/study-of-a-female-nude,http://uploads4.wikiart.org/images/adriaen-van-de-velde/study-of-a-female-nude.jpg,1,train
adriaen-van-de-velde_study-of-a-woman-in-peasant-dress,http://www.wikiart.org/en/adriaen-van-de-velde/study-of-a-woman-in-peasant-dress,http://uploads6.wikiart.org/images/adriaen-van-de-velde/study-of-a-woman-in-peasant-dress.jpg,1,test
adriaen-van-de-velde_the-beach-at-scheveningen-1658,http://www.wikiart.org/en/adriaen-van-de-velde/the-beach-at-scheveningen-1658,http://uploads3.wikiart.org/images/adriaen-van-de-velde/the-beach-at-scheveningen-1658.jpg,1,train
adriaen-van-de-velde_the-church-of-st-severin-in-cologne-in-a-fictive-setting-1672,http://www.wikiart.org/en/adriaen-van-de-velde/the-church-of-st-severin-in-cologne-in-a-fictive-setting-1672,http://uploads7.wikiart.org/images/adriaen-van-de-velde/the-church-of-st-severin-in-cologne-in-a-fictive-setting-1672.jpg,1,test
adriaen-van-de-velde_the-farm-1666,http://www.wikiart.org/en/adriaen-van-de-velde/the-farm-1666,http://uploads4.wikiart.org/images/adriaen-van-de-velde/the-farm-1666.jpg,1,train
adriaen-van-de-velde_the-hut-1671,http://www.wikiart.org/en/adriaen-van-de-velde/the-hut-1671,http://uploads3.wikiart.org/images/adriaen-van-de-velde/the-hut-1671.jpg,1,train
adriaen-van-de-velde_the-hut-detail-1671,http://www.wikiart.org/en/adriaen-van-de-velde/the-hut-detail-1671,http://uploads1.wikiart.org/images/adriaen-van-de-velde/the-hut-detail-1671.jpg,1,train
adriaen-van-de-velde_the-stone-bridge-1672,http://www.wikiart.org/en/adriaen-van-de-velde/the-stone-bridge-1672,http://uploads3.wikiart.org/images/adriaen-van-de-velde/the-stone-bridge-1672.jpg,1,train
adriaen-van-de-venne_a-man-carrying-a-sack,http://www.wikiart.org/en/adriaen-van-de-venne/a-man-carrying-a-sack,http://uploads3.wikiart.org/images/adriaen-van-de-venne/a-man-carrying-a-sack.jpg,1,train
adriaen-van-de-venne_a-summer-village-landscape-with-horse,http://www.wikiart.org/en/adriaen-van-de-venne/a-summer-village-landscape-with-horse,http://uploads1.wikiart.org/images/adriaen-van-de-venne/a-summer-village-landscape-with-horse.jpg,1,train
adriaen-van-de-venne_al-te-bot,http://www.wikiart.org/en/adriaen-van-de-venne/al-te-bot,http://uploads0.wikiart.org/images/adriaen-van-de-venne/al-te-bot.jpg,1,train
adriaen-van-de-venne_frontispiece,http://www.wikiart.org/en/adriaen-van-de-venne/frontispiece,http://uploads3.wikiart.org/images/adriaen-van-de-venne/frontispiece.jpg,1,train
adriaen-van-de-venne_moses-striking-the-rock,http://www.wikiart.org/en/adriaen-van-de-venne/moses-striking-the-rock,http://uploads5.wikiart.org/images/adriaen-van-de-venne/moses-striking-the-rock.jpg,1,train
adriaen-van-de-venne_summer,http://www.wikiart.org/en/adriaen-van-de-venne/summer,http://uploads6.wikiart.org/images/adriaen-van-de-venne/summer.jpg,1,test
adriaen-van-de-venne_what-won-t-people-do-for-money,http://www.wikiart.org/en/adriaen-van-de-venne/what-won-t-people-do-for-money,http://uploads3.wikiart.org/images/adriaen-van-de-venne/what-won-t-people-do-for-money.jpg,1,train
adriaen-van-ostade_a-peasant-in-a-red-beret-smoking-a-pipe,http://www.wikiart.org/en/adriaen-van-ostade/a-peasant-in-a-red-beret-smoking-a-pipe,http://uploads1.wikiart.org/images/adriaen-van-ostade/a-peasant-in-a-red-beret-smoking-a-pipe.jpg,1,train
